filedFor,industry,total_value,portfolio_value,sector_percentage,sector_price_index,year_quarter
2016-03-31,Consumer Defensive,48704612000,127578481000,38.17619681488448,543.5599975585938,2016Q1
2016-03-31,Energy,7015828000,127578481000,5.4992252180836045,462.4100036621094,2016Q1
2016-03-31,Financial Services,43020664000,127578481000,33.720940759594086,303.7099914550781,2016Q1
2016-03-31,Healthcare,2865333000,127578481000,2.245937541770857,783.8499755859375,2016Q1
2016-03-31,Industrials,2638592000,127578481000,2.0682108607328535,483.6400146484375,2016Q1
2016-03-31,Technology,14521705000,127578481000,11.382566155494516,737.1199951171875,2016Q1
2016-06-30,Basic Materials,1670280000,128923574000,1.2955582506578665,290.6199951171875,2016Q2
2016-06-30,Communication Services,5250857000,128923574000,4.07284473823228,182.63999938964844,2016Q2
2016-06-30,Consumer Cyclical,1766030000,128923574000,1.369827057385176,620.4099731445312,2016Q2
2016-06-30,Consumer Defensive,50667685000,128923574000,39.30055879462355,564.989990234375,2016Q2
2016-06-30,Energy,6747271000,128923574000,5.233543246326696,512.3900146484375,2016Q2
2016-06-30,Financial Services,42319276000,128923574000,32.82508752045611,308.3900146484375,2016Q2
2016-06-30,Healthcare,3021566000,128923574000,2.343687741700366,829.4500122070312,2016Q2
2016-06-30,Industrials,2575508000,128923574000,1.9977013668578565,487.510009765625,2016Q2
2016-06-30,Technology,14905101000,128923574000,11.561191283760099,713.0399780273438,2016Q2
2016-09-30,Basic Materials,1667571000,128637945000,1.296329010852902,299.8699951171875,2016Q3
2016-09-30,Communication Services,5801380000,128637945000,4.509851272888415,170.5800018310547,2016Q3
2016-09-30,Consumer Cyclical,1964677000,128637945000,1.5272919666121842,635.9600219726562,2016Q3
2016-09-30,Consumer Defensive,47777429000,128637945000,37.14100765524511,546.5399780273438,2016Q3
2016-09-30,Energy,6962171000,128637945000,5.412221875901391,520.3499755859375,2016Q3
2016-09-30,Financial Services,42286954000,128637945000,32.87284634405501,320.82000732421875,2016Q3
2016-09-30,Healthcare,2586667000,128637945000,2.0108118176172667,833.7899780273438,2016Q3
2016-09-30,Industrials,3952429000,128637945000,3.0725218752522827,504.8699951171875,2016Q3
2016-09-30,Technology,15638667000,128637945000,12.157118181575429,801.719970703125,2016Q3
2016-12-31,Basic Materials,2606867000,147827245000,1.763455038345604,312.1600036621094,2016Q4
2016-12-31,Communication Services,5735397000,147827245000,3.8797969887080015,176.61000061035156,2016Q4
2016-12-31,Consumer Cyclical,2144165000,147827245000,1.4504531962291525,647.8200073242188,2016Q4
2016-12-31,Consumer Defensive,45915782000,147827245000,31.06043273687472,531.7899780273438,2016Q4
2016-12-31,Energy,6972414000,147827245000,4.716596051018876,554.5,2016Q4
2016-12-31,Financial Services,50658376000,147827245000,34.268632957341524,386.5299987792969,2016Q4
2016-12-31,Healthcare,2513595000,147827245000,1.7003597679169358,796.9099731445312,2016Q4
2016-12-31,Industrials,10168189000,147827245000,6.878426909735076,538.0700073242188,2016Q4
2016-12-31,Technology,21112460000,147827245000,14.281846353830108,807.9500122070312,2016Q4
2017-03-31,Basic Materials,2901627000,161697090000,1.794483128917162,328.7300109863281,2017Q1
2017-03-31,Communication Services,6313768000,161697090000,3.9046886990978003,167.67999267578125,2017Q1
2017-03-31,Consumer Cyclical,2238348000,161697090000,1.3842846522469885,700.239990234375,2017Q1
2017-03-31,Consumer Defensive,47491740000,161697090000,29.370806858676307,561.7899780273438,2017Q1
2017-03-31,Energy,6392254000,161697090000,3.953227606013194,514.010009765625,2017Q1
2017-03-31,Financial Services,52731751000,161697090000,32.611440935640836,394.5799865722656,2017Q1
2017-03-31,Healthcare,2662041000,161697090000,1.6463134865321323,859.75,2017Q1
2017-03-31,Industrials,10010988000,161697090000,6.19119861711797,559.6300048828125,2017Q1
2017-03-31,Technology,30954573000,161697090000,19.14355601575761,906.2100219726562,2017Q1
2017-06-30,Basic Materials,2830965000,161956559000,1.747977987109494,337.4200134277344,2017Q2
2017-06-30,Communication Services,6819693000,161956559000,4.210816185592088,154.02999877929688,2017Q2
2017-06-30,Consumer Cyclical,2623527000,161956559000,1.6198954930871308,714.0599975585938,2017Q2
2017-06-30,Consumer Defensive,46742819000,161956559000,28.861331265997077,566.8300170898438,2017Q2
2017-06-30,Energy,6672247000,161956559000,4.119775723316028,477.9100036621094,2017Q2
2017-06-30,Financial Services,54584090000,161956559000,33.702920299757665,409.5899963378906,2017Q2
2017-06-30,Healthcare,2540778000,161956559000,1.5688021625601467,916.9299926757812,2017Q2
2017-06-30,Industrials,10450204000,161956559000,6.452473468518185,582.9199829101562,2017Q2
2017-06-30,Real Estate,418057000,161956559000,0.25812909497540015,201.16000366210938,2017Q2
2017-06-30,Technology,28274179000,161956559000,17.457878319086788,940.280029296875,2017Q2
2017-09-30,Basic Materials,3011165000,177484293000,1.6965811166174576,356.1499938964844,2017Q3
2017-09-30,Communication Services,6789986000,177484293000,3.825682760558423,162.3699951171875,2017Q3
2017-09-30,Consumer Cyclical,2961833000,177484293000,1.6687859809656507,717.469970703125,2017Q3
2017-09-30,Consumer Defensive,44192936000,177484293000,24.89963210434627,555.3900146484375,2017Q3
2017-09-30,Energy,7392000000,177484293000,4.1648755926813195,506.7200012207031,2017Q3
2017-09-30,Financial Services,73608358000,177484293000,41.47316743121601,429.0799865722656,2017Q3
2017-09-30,Healthcare,2332936000,177484293000,1.3144464563971303,946.3099975585938,2017Q3
2017-09-30,Industrials,9315704000,177484293000,5.248748406147692,604.3800048828125,2017Q3
2017-09-30,Real Estate,463121000,177484293000,0.260936329729189,199.1999969482422,2017Q3
2017-09-30,Technology,27416254000,177484293000,15.447143821340855,1018.1500244140625,2017Q3
2017-12-31,Basic Materials,3626031000,191075920000,1.8976912423082928,384.6300048828125,2017Q4
2017-12-31,Communication Services,6465950000,191075920000,3.3839690527199866,166.4499969482422,2017Q4
2017-12-31,Consumer Cyclical,2568282000,191075920000,1.3441159932659228,797.2100219726562,2017Q4
2017-12-31,Consumer Defensive,44731282000,191075920000,23.410214118032247,584.1799926757812,2017Q4
2017-12-31,Energy,8161782000,191075920000,4.27148643324601,542.9299926757812,2017Q4
2017-12-31,Financial Services,81526436000,191075920000,42.66703831649744,463.6600036621094,2017Q4
2017-12-31,Healthcare,3189759000,191075920000,1.6693673383857057,968.0999755859375,2017Q4
2017-12-31,Industrials,10545500000,191075920000,5.519010454064541,642.6500244140625,2017Q4
2017-12-31,Real Estate,484908000,191075920000,0.25377766073296937,202.66000366210938,2017Q4
2017-12-31,Technology,29775990000,191075920000,15.583329390746883,1121.81005859375,2017Q4
2018-03-31,Basic Materials,4494238000,188795539000,2.3804789158709942,348.6099853515625,2018Q1
2018-03-31,Communication Services,6171514000,188795539000,3.2688876192143503,149.4600067138672,2018Q1
2018-03-31,Consumer Cyclical,2297303000,188795539000,1.2168205944738981,784.1099853515625,2018Q1
2018-03-31,Consumer Defensive,38645434000,188795539000,20.46946352900849,528.4600219726562,2018Q1
2018-03-31,Energy,4382575000,188795539000,2.3213339802483364,488.3500061035156,2018Q1
2018-03-31,Financial Services,77315752000,188795539000,40.95210745419149,447.79998779296875,2018Q1
2018-03-31,Healthcare,3277756000,188795539000,1.7361405981102127,921.219970703125,2018Q1
2018-03-31,Industrials,10018441000,188795539000,5.306503031303086,612.0399780273438,2018Q1
2018-03-31,Real Estate,462190000,188795539000,0.24480980983348338,189.6199951171875,2018Q1
2018-03-31,Technology,41730336000,188795539000,22.10345446774566,1113.280029296875,2018Q1
2018-06-30,Basic Materials,2417208000,195467715000,1.2366277469402043,363.6499938964844,2018Q2
2018-06-30,Communication Services,6031127000,195467715000,3.085484986612751,148.1199951171875,2018Q2
2018-06-30,Consumer Cyclical,2533733000,195467715000,1.2962411721035363,870.22998046875,2018Q2
2018-06-30,Consumer Defensive,39073638000,195467715000,19.98981673265071,529.0800170898438,2018Q2
2018-06-30,Energy,3900471000,195467715000,1.9954553620274325,561.5399780273438,2018Q2
2018-06-30,Financial Services,79217306000,195467715000,40.5270537899315,441.1499938964844,2018Q2
2018-06-30,Healthcare,3769506000,195467715000,1.9284545276441176,965.780029296875,2018Q2
2018-06-30,Industrials,9594973000,195467715000,4.908725208150103,602.0999755859375,2018Q2
2018-06-30,Real Estate,510234000,195467715000,0.26103236537041424,201.89999389648438,2018Q2
2018-06-30,Technology,48419519000,195467715000,24.771108108569234,1218.6400146484375,2018Q2
2018-09-30,Basic Materials,2396716000,221020177000,1.0843878746871152,366.9100036621094,2018Q3
2018-09-30,Communication Services,6122906000,221020177000,2.770292777387469,160.3800048828125,2018Q3
2018-09-30,Consumer Cyclical,2266594000,221020177000,1.0255145167131055,936.3900146484375,2018Q3
2018-09-30,Consumer Defensive,37490637000,221020177000,16.962540483351436,554.5499877929688,2018Q3
2018-09-30,Energy,1739611000,221020177000,0.7870824390842832,569.1300048828125,2018Q3
2018-09-30,Financial Services,94126306000,221020177000,42.58720053418472,459.7699890136719,2018Q3
2018-09-30,Healthcare,3739236000,221020177000,1.6918075312191971,1107.280029296875,2018Q3
2018-09-30,Industrials,11417288000,221020177000,5.165722041748252,665.010009765625,2018Q3
2018-09-30,Real Estate,517496000,221020177000,0.23413970933522507,200.13999938964844,2018Q3
2018-09-30,Technology,61203387000,221020177000,27.691312092289206,1328.550048828125,2018Q3
2018-12-31,Basic Materials,2232089000,182503931000,1.2230361218904375,316.6199951171875,2018Q4
2018-12-31,Communication Services,5120493000,182503931000,2.8056891552653735,138.77999877929688,2018Q4
2018-12-31,Consumer Cyclical,2858740000,182503931000,1.5663991369040704,781.5,2018Q4
2018-12-31,Consumer Defensive,33890200000,182503931000,18.569572619233064,521.8800048828125,2018Q4
2018-12-31,Energy,1024826000,182503931000,0.5615363978105217,424.07000732421875,2018Q4
2018-12-31,Financial Services,83066855000,182503931000,45.51510454862476,395.8999938964844,2018Q4
2018-12-31,Healthcare,2693701000,182503931000,1.4759687559825767,1001.1799926757812,2018Q4
2018-12-31,Industrials,9065427000,182503931000,4.96725026706411,542.1599731445312,2018Q4
2018-12-31,Real Estate,527180000,182503931000,0.2888595314694893,192.36000061035156,2018Q4
2018-12-31,Technology,42024420000,182503931000,23.026583465755596,1088.31005859375,2018Q4
2019-03-31,Basic Materials,2300483000,198552431000,1.1586274660117357,352.4800109863281,2019Q1
2019-03-31,Communication Services,5267915000,198552431000,2.65316066565813,159.97000122070312,2019Q1
2019-03-31,Consumer Cyclical,4091255000,198552431000,2.0605413791181433,911.77001953125,2019Q1
2019-03-31,Consumer Defensive,30486930000,198552431000,15.35459920911268,578.9000244140625,2019Q1
2019-03-31,Energy,528452000,198552431000,0.26615236959752964,496.1400146484375,2019Q1
2019-03-31,Financial Services,92148824000,198552431000,46.41032272226372,437.5299987792969,2019Q1
2019-03-31,Healthcare,2817599000,198552431000,1.4190705124129153,1064.239990234375,2019Q1
2019-03-31,Industrials,9592270000,198552431000,4.831101765759796,645.4600219726562,2019Q1
2019-03-31,Real Estate,623826000,198552431000,0.3141870370753607,223.72999572753906,2019Q1
2019-03-31,Technology,50694877000,198552431000,25.532236872989987,1317.4000244140625,2019Q1
2019-06-30,Basic Materials,722339000,207346806000,0.34837237859357234,367.1400146484375,2019Q2
2019-06-30,Communication Services,5454687000,207346806000,2.630707029072828,164.22999572753906,2019Q2
2019-06-30,Consumer Cyclical,4388792000,207346806000,2.11664316642524,945.5800170898438,2019Q2
2019-06-30,Consumer Defensive,31686578000,207346806000,15.281922403955427,597.3400268554688,2019Q2
2019-06-30,Energy,519401000,207346806000,0.25049867418743843,471.739990234375,2019Q2
2019-06-30,Financial Services,98163124000,207346806000,47.34248185139635,458.9200134277344,2019Q2
2019-06-30,Healthcare,2614447000,207346806000,1.260905364512825,1072.469970703125,2019Q2
2019-06-30,Industrials,10100395000,207346806000,4.871256613424756,651.6900024414062,2019Q2
2019-06-30,Real Estate,618053000,207346806000,0.2980769330008392,227.25999450683594,2019Q2
2019-06-30,Technology,53078990000,207346806000,25.599135585430723,1372.56005859375,2019Q2
2019-09-30,Basic Materials,731560000,213840854000,0.34210488141802875,364.6600036621094,2019Q3
2019-09-30,Communication Services,5744044000,213840854000,2.686130312592186,167.25999450683594,2019Q3
2019-09-30,Consumer Cyclical,4448005000,213840854000,2.080053889047787,947.27001953125,2019Q3
2019-09-30,Consumer Defensive,32192298000,213840854000,15.054325400327853,629.3800048828125,2019Q3
2019-09-30,Energy,862781000,213840854000,0.40346874035585356,437.1300048828125,2019Q3
2019-09-30,Financial Services,98341703000,213840854000,45.98826705022418,465.5400085449219,2019Q3
2019-09-30,Healthcare,2540812000,213840854000,1.1881789435801637,1043.3699951171875,2019Q3
2019-09-30,Industrials,10107338000,213840854000,4.726570162313324,654.8900146484375,2019Q3
2019-09-30,Real Estate,696637000,213840854000,0.3257735773913436,243.60000610351562,2019Q3
2019-09-30,Technology,58175676000,213840854000,27.20512704274928,1413.3599853515625,2019Q3
2019-12-31,Basic Materials,737626000,240992981000,0.3060777940250467,385.8500061035156,2019Q4
2019-12-31,Communication Services,6509340000,240992981000,2.7010496210260992,181.63999938964844,2019Q4
2019-12-31,Consumer Cyclical,4640682000,240992981000,1.9256502744368311,986.2899780273438,2019Q4
2019-12-31,Consumer Defensive,34496611000,240992981000,14.314363371437777,646.969970703125,2019Q4
2019-12-31,Energy,805570000,240992981000,0.3342711462621395,456.4599914550781,2019Q4
2019-12-31,Financial Services,104865210000,240992981000,43.51380258664048,511.3900146484375,2019Q4
2019-12-31,Healthcare,3557546000,240992981000,1.4762031596264622,1188.199951171875,2019Q4
2019-12-31,Industrials,10201257000,240992981000,4.233010006212588,687.5999755859375,2019Q4
2019-12-31,Real Estate,693471000,240992981000,0.28775568363959947,240.32000732421875,2019Q4
2019-12-31,Technology,74485668000,240992981000,30.90781635669298,1611.1700439453125,2019Q4
2020-03-31,Basic Materials,415689000,174982241000,0.23756067908628511,283.2300109863281,2020Q1
2020-03-31,Communication Services,4943345000,174982241000,2.8250552580361568,150.35000610351562,2020Q1
2020-03-31,Consumer Cyclical,3101078000,174982241000,1.7722244167623844,793.1099853515625,2020Q1
2020-03-31,Consumer Defensive,27625893000,174982241000,15.787826720084125,560.3300170898438,2020Q1
2020-03-31,Energy,219245000,174982241000,0.12529557213751766,223.39999389648438,2020Q1
2020-03-31,Financial Services,64986217000,174982241000,37.138749983205436,346.0199890136719,2020Q1
2020-03-31,Healthcare,3528130000,174982241000,2.016278897696824,1032.9000244140625,2020Q1
2020-03-31,Industrials,5176646000,174982241000,2.958383645343758,499.1199951171875,2020Q1
2020-03-31,Real Estate,337425000,174982241000,0.19283385449383975,192.63999938964844,2020Q1
2020-03-31,Technology,64648573000,174982241000,36.94579097315367,1414.3599853515625,2020Q1
2020-06-30,Basic Materials,1106329000,201538325000,0.5489422421269007,354.8299865722656,2020Q2
2020-06-30,Communication Services,5571922000,201538325000,2.76469599516618,179.8800048828125,2020Q2
2020-06-30,Consumer Cyclical,3785916000,201538325000,1.8785092115854392,1051.4200439453125,2020Q2
2020-06-30,Consumer Defensive,30380349000,201538325000,15.074229181968244,601.3300170898438,2020Q2
2020-06-30,Financial Services,64261960000,201538325000,31.88572694548295,385.489990234375,2020Q2
2020-06-30,Healthcare,3760516000,201538325000,1.8659061496119906,1167.800048828125,2020Q2
2020-06-30,Industrials,6604000,201538325000,0.0032767961130966035,581.0,2020Q2
2020-06-30,Real Estate,581325000,201538325000,0.28844389770531237,216.38999938964844,2020Q2
2020-06-30,Technology,92083404000,201538325000,45.69026958023989,1840.0999755859375,2020Q2
2020-09-30,Basic Materials,856542000,234951446000,0.36456128046132563,400.010009765625,2020Q3
2020-09-30,Communication Services,9754903000,234951446000,4.151880384681693,195.49000549316406,2020Q3
2020-09-30,Consumer Cyclical,4700066000,234951446000,2.0004414018375525,1207.68994140625,2020Q3
2020-09-30,Consumer Defensive,30424825000,234951446000,12.949409555879047,659.1400146484375,2020Q3
2020-09-30,Energy,3187639000,234951446000,1.3567224438363321,227.49000549316406,2020Q3
2020-09-30,Financial Services,62453958000,234951446000,26.58164444750853,400.2799987792969,2020Q3
2020-09-30,Healthcare,9372291000,234951446000,3.989033121336908,1231.02001953125,2020Q3
2020-09-30,Industrials,9898000,234951446000,0.004212785308842067,650.6799926757812,2020Q3
2020-09-30,Real Estate,669708000,234951446000,0.28504102077328775,218.9499969482422,2020Q3
2020-09-30,Technology,113521616000,234951446000,48.317053558376486,2054.56005859375,2020Q3
2020-12-31,Basic Materials,668641000,268506265000,0.24902249487549202,455.7099914550781,2020Q4
2020-12-31,Communication Services,16269233000,268506265000,6.059163275017065,221.9199981689453,2020Q4
2020-12-31,Consumer Cyclical,5531170000,268506265000,2.05997800461006,1302.56005859375,2020Q4
2020-12-31,Consumer Defensive,34365223000,268506265000,12.798667100002303,696.3200073242188,2020Q4
2020-12-31,Energy,4095738000,268506265000,1.5253789329645624,286.1400146484375,2020Q4
2020-12-31,Financial Services,72515016000,268506265000,27.00682458936293,490.42999267578125,2020Q4
2020-12-31,Healthcare,12010618000,268506265000,4.473123932508614,1324.010009765625,2020Q4
2020-12-31,Industrials,10003000,268506265000,0.003725425177695574,749.5399780273438,2020Q4
2020-12-31,Real Estate,829627000,268506265000,0.3089786377982651,227.89999389648438,2020Q4
2020-12-31,Technology,122210996000,268506265000,45.51513760768301,2291.280029296875,2020Q4
2021-03-31,Basic Materials,410779000,269780425000,0.15226419781939332,494.7099914550781,2021Q1
2021-03-31,Communication Services,16260349000,269780425000,6.027253089248414,239.27999877929688,2021Q1
2021-03-31,Consumer Cyclical,6547790000,269780425000,2.4270812087274307,1340.9100341796875,2021Q1
2021-03-31,Consumer Defensive,36023597000,269780425000,13.352932111364268,699.4600219726562,2021Q1
2021-03-31,Energy,2480617000,269780425000,0.9194948076755383,369.8900146484375,2021Q1
2021-03-31,Financial Services,84484157000,269780425000,31.315895880881644,565.719970703125,2021Q1
2021-03-31,Healthcare,10429864000,269780425000,3.866056627347963,1360.3399658203125,2021Q1
2021-03-31,Industrials,10097000,269780425000,0.0037426733240560357,831.97998046875,2021Q1
2021-03-31,Real Estate,817909000,269780425000,0.3031758141829601,247.0,2021Q1
2021-03-31,Technology,112315266000,269780425000,41.632103589428326,2331.06005859375,2021Q1
2021-06-30,Communication Services,16506856000,292306175000,5.647111628757074,264.3500061035156,2021Q2
2021-06-30,Consumer Cyclical,6601583000,292306175000,2.258448012601855,1431.8199462890625,2021Q2
2021-06-30,Consumer Defensive,37369130000,292306175000,12.784242412942525,721.6199951171875,2021Q2
2021-06-30,Energy,2421999000,292306175000,0.8285829062625858,407.3699951171875,2021Q2
2021-06-30,Financial Services,92997691000,292306175000,31.8151646984536,610.5999755859375,2021Q2
2021-06-30,Healthcare,9652805000,292306175000,3.3022925362421782,1468.93994140625,2021Q2
2021-06-30,Industrials,12353000,292306175000,0.004226048252316257,866.239990234375,2021Q2
2021-06-30,Real Estate,842568000,292306175000,0.2882484436054079,277.4100036621094,2021Q2
2021-06-30,Technology,125901190000,292306175000,43.071683312882456,2594.47998046875,2021Q2
2021-09-30,Communication Services,15373675000,293076071000,5.2456261432548,268.0400085449219,2021Q3
2021-09-30,Consumer Cyclical,6208262000,293076071000,2.118310778091467,1429.68994140625,2021Q3
2021-09-30,Consumer Defensive,35553681000,293076071000,12.131212513764046,714.5800170898438,2021Q3
2021-09-30,Energy,2911972000,293076071000,0.9935891354296202,395.8800048828125,2021Q3
2021-09-30,Financial Services,94227298000,293076071000,32.151140036267236,624.5999755859375,2021Q3
2021-09-30,Healthcare,7998841000,293076071000,2.729271268277648,1483.989990234375,2021Q3
2021-09-30,Industrials,10817000,293076071000,0.003690850625604299,826.8300170898438,2021Q3
2021-09-30,Real Estate,782018000,293076071000,0.26683106448496097,278.0899963378906,2021Q3
2021-09-30,Technology,130009507000,293076071000,44.360328209804614,2623.830078125,2021Q3
2021-12-31,Communication Services,15736058000,329767625000,4.771862610830884,267.4800109863281,2021Q4
2021-12-31,Consumer Cyclical,6379256000,329767625000,1.9344700681275184,1610.760009765625,2021Q4
2021-12-31,Consumer Defensive,38243760000,329767625000,11.597184532593216,804.5999755859375,2021Q4
2021-12-31,Energy,4488055000,329767625000,1.3609750199098531,422.739990234375,2021Q4
2021-12-31,Financial Services,95969439000,329767625000,29.102140939396342,650.0399780273438,2021Q4
2021-12-31,Healthcare,5241953000,329767625000,1.5895899423116506,1643.9200439453125,2021Q4
2021-12-31,Industrials,12732000,329767625000,0.003860900535642333,894.9600219726562,2021Q4
2021-12-31,Real Estate,839882000,329767625000,0.2546890405023841,324.75,2021Q4
2021-12-31,Technology,162856490000,329767625000,49.38522694579251,3055.449951171875,2021Q4
2022-03-31,Basic Materials,1125958000,362601424000,0.31052222232861393,553.4500122070312,2022Q1
2022-03-31,Communication Services,14067860000,362601424000,3.8797034619477944,235.08999633789062,2022Q1
