cupsid,valuation,shares,filedFor,cik,ticker
61536910,1123308,15719400,2006-03-31,1059556,DUT
65410610,210588,2474600,2006-03-31,320187,NKE
68989910,80027,1818800,2006-03-31,874691,
71646E10,7651,72900,2006-03-31,1108329,PC6A
71646E10,61511,586100,2006-03-31,1108329,PC6A
72027910,38197,3290000,2006-03-31,1017968,
74271810,3371355,58500000,2006-03-31,80424,PG
74271810,1168736,20280000,2006-03-31,80424,PG
74271810,359611,6240000,2006-03-31,80424,PG
74271810,412314,7154500,2006-03-31,80424,PG
74271810,44951,780000,2006-03-31,80424,PG
74271810,89903,1560000,2006-03-31,80424,PG
74271810,316129,5485500,2006-03-31,80424,PG
81211K10,42702,737900,2006-03-31,88204,SEE
81760N10,57523,4384400,2006-03-31,1052045,
86791410,170593,2344600,2006-03-31,750556,
86791410,62574,860000,2006-03-31,750556,
89102710,4428,77551,2006-03-31,320335,GL
89102710,25679,449728,2006-03-31,320335,GL
89102710,94609,1656900,2006-03-31,320335,GL
89102710,36527,639700,2006-03-31,320335,GL
90212410,268800,10000000,2006-03-31,833444,
90329340,617240,6500000,2006-03-31,757011,
91131210,113450,1429200,2006-03-31,809697,UPS
93114210,897480,18998300,2006-03-31,104169,WMT
93114210,44689,946000,2006-03-31,104169,WMT
93964010,694651,894304,2006-03-31,104889,
93964010,115201,148311,2006-03-31,104889,
93964010,503462,648165,2006-03-31,104889,
93964010,28728,36985,2006-03-31,104889,
94974610,1265910,19820110,2006-03-31,105598,WFC
94974610,65250,1021600,2006-03-31,105598,WFC
94974610,970509,15195070,2006-03-31,105598,WFC
94974610,89035,1394000,2006-03-31,105598,WFC
94974610,163503,2560000,2006-03-31,105598,WFC
94974610,2452886,38404360,2006-03-31,105598,WFC
94974610,38632,604860,2006-03-31,105598,WFC
94974610,54289,850000,2006-03-31,105598,WFC
94974610,9581,150000,2006-03-31,105598,WFC
94974610,638700,10000000,2006-03-31,105598,WFC
94974610,164823,2580600,2006-03-31,105598,WFC
95081710,2275532,5703087,2006-03-31,105729,
02581610,886419,17225400,2005-12-31,922812,AXP
02581610,411404,7994634,2005-12-31,922812,AXP
02581610,6188368,120255879,2005-12-31,922812,AXP
02581610,99992,1943100,2005-12-31,922812,AXP
02581610,72029,1399713,2005-12-31,922812,AXP
02581610,43218,839832,2005-12-31,922812,AXP
02581610,100457,1952142,2005-12-31,922812,AXP
02971210,419391,10497900,2005-12-31,836102,
03076C10,141248,3445080,2005-12-31,820027,A4S
03076C10,65556,1598926,2005-12-31,820027,A4S
03076C10,986098,24051175,2005-12-31,820027,A4S
03076C10,15933,388620,2005-12-31,820027,A4S
03076C10,11478,279942,2005-12-31,820027,A4S
03076C10,6887,167966,2005-12-31,820027,A4S
03076C10,16008,390428,2005-12-31,820027,A4S
03522910,1883976,43854200,2005-12-31,310569,
09367110,455110,18538100,2005-12-31,12659,HRB
19121610,16124,400000,2005-12-31,21344,KO
19121610,71591,1776000,2005-12-31,21344,KO
19121610,290458,7205600,2005-12-31,21344,KO
19121610,1618108,40141600,2005-12-31,21344,KO
19121610,5641207,139945600,2005-12-31,21344,KO
19121610,368401,9139200,2005-12-31,21344,KO
19121610,19349,480000,2005-12-31,21344,KO
19121610,36763,912000,2005-12-31,21344,KO
20030N20,285421,11110200,2005-12-31,22301,
20033410,21651,1202832,2005-12-31,1179484,
20033410,5385,299148,2005-12-31,1179484,
20033410,306,16998,2005-12-31,1179484,
22160K10,259915,5254000,2005-12-31,1393231,COST
31996310,430100,10000000,2005-12-31,4962,
36473010,208821,3447600,2005-12-31,39899,
36476010,176400,10000000,2005-12-31,39911,GAP
43707610,202400,5000000,2005-12-31,354950,HD
46284610,166718,3948800,2005-12-31,1020882,
52977110,134490,3000000,2005-12-31,745448,LXKEUR
54866110,25997,390000,2005-12-31,60667,LOW
55261F10,653979,5997060,2005-12-31,36270,MTB
55261F10,59541,546000,2005-12-31,36270,MTB
55261F10,18070,165700,2005-12-31,36270,MTB
61536910,1982674,32280600,2005-12-31,1059556,DUT
61536910,965486,15719400,2005-12-31,1059556,DUT
62475610,21511,784500,2005-12-31,89439,MLI
65410610,214771,2474600,2005-12-31,320187,NKE
68989910,75680,1818800,2005-12-31,874691,
71646E10,5975,72900,2005-12-31,1108329,PC6A
71646E10,48037,586100,2005-12-31,1108329,PC6A
72027910,28722,3290000,2005-12-31,1017968,
74271810,3385980,58500000,2005-12-31,80424,PG
74271810,1173806,20280000,2005-12-31,80424,PG
74271810,361171,6240000,2005-12-31,80424,PG
74271810,414102,7154500,2005-12-31,80424,PG
74271810,45146,780000,2005-12-31,80424,PG
74271810,90293,1560000,2005-12-31,80424,PG
74271810,317501,5485500,2005-12-31,80424,PG
81211K10,53676,955600,2005-12-31,88204,SEE
81760N10,67059,5611600,2005-12-31,1052045,
86791410,170593,2344600,2005-12-31,750556,
86791410,62574,860000,2005-12-31,750556,
89102710,4312,77551,2005-12-31,320335,GL
89102710,25005,449728,2005-12-31,320335,GL
89102710,92124,1656900,2005-12-31,320335,GL
89102710,35567,639700,2005-12-31,320335,GL
90212410,288600,10000000,2005-12-31,833444,
90329340,422500,6500000,2005-12-31,757011,
93114210,889120,18998300,2005-12-31,104169,WMT
93114210,44273,946000,2005-12-31,104169,WMT
93964010,684143,894304,2005-12-31,104889,
93964010,113458,148311,2005-12-31,104889,
93964010,495846,648165,2005-12-31,104889,
93964010,28294,36985,2005-12-31,104889,
94974610,1034955,16472310,2005-12-31,105598,WFC
94974610,64187,1021600,2005-12-31,105598,WFC
94974610,954706,15195070,2005-12-31,105598,WFC
94974610,87585,1394000,2005-12-31,105598,WFC
94974610,62830,1000000,2005-12-31,105598,WFC
94974610,2412946,38404360,2005-12-31,105598,WFC
94974610,38003,604860,2005-12-31,105598,WFC
94974610,53406,850000,2005-12-31,105598,WFC
94974610,9424,150000,2005-12-31,105598,WFC
94974610,628300,10000000,2005-12-31,105598,WFC
95081710,2195688,5703087,2005-12-31,105729,
94974610,755705,12902590,2005-09-30,105598,WFC
94974610,59835,1021600,2005-09-30,105598,WFC
94974610,497146,8488070,2005-09-30,105598,WFC
94974610,81647,1394000,2005-09-30,105598,WFC
94974610,58570,1000000,2005-09-30,105598,WFC
94974610,2249343,38404360,2005-09-30,105598,WFC
94974610,35427,604860,2005-09-30,105598,WFC
94974610,49784,850000,2005-09-30,105598,WFC
94974610,8786,150000,2005-09-30,105598,WFC
94974610,585700,10000000,2005-09-30,105598,WFC
94974610,585700,10000000,2005-09-30,105598,WFC
02581610,886419,17225400,2005-12-31,922812,AXP
02581610,411404,7994634,2005-12-31,922812,AXP
02581610,6188368,120255879,2005-12-31,922812,AXP
02581610,99992,1943100,2005-12-31,922812,AXP
02581610,72029,1399713,2005-12-31,922812,AXP
02581610,43218,839832,2005-12-31,922812,AXP
02581610,100457,1952142,2005-12-31,922812,AXP
02971210,419391,10497900,2005-12-31,836102,
03076C10,141248,3445080,2005-12-31,820027,A4S
