cik,filedFor,ticker,no_shares,value,nameOfIssuer
1067983,2013-06-30,STRZA,3000000,66300000,STARZ
1067983,2013-06-30,GL,116326,7577000,TORCHMARK CORP
1067983,2013-06-30,GL,674592,43943000,TORCHMARK CORP
1067983,2013-06-30,GL,959550,62505000,TORCHMARK CORP
1067983,2013-06-30,GL,2485350,161896000,TORCHMARK CORP
1067983,2013-06-30,USB,590275,21338000,US BANCORP DEL
1067983,2013-06-30,USB,3070000,110981000,US BANCORP DEL
1067983,2013-06-30,USB,23307300,842559000,US BANCORP DEL
1067983,2013-06-30,USB,12679300,458357000,US BANCORP DEL
1067983,2013-06-30,USB,3364600,121630000,US BANCORP DEL
1067983,2013-06-30,USB,3050000,110258000,US BANCORP DEL
1067983,2013-06-30,USB,30470826,1101520000,US BANCORP DEL
1067983,2013-06-30,USB,1745000,63082000,US BANCORP DEL
1067983,2013-06-30,USG,17072192,393514000,U S G CORP
1067983,2013-06-30,UPS,59400,5137000,UNITED PARCEL SERVICE INC
1067983,2013-06-30,VRSN,4522000,201953000,VERISIGN INC
1067983,2013-06-30,VRSN,6375420,284726000,VERISIGN INC
1067983,2013-06-30,VRSK,1563434,93337000,VERISK ANALYTICS INC
1067983,2013-06-30,VIAB,3954000,268991000,VIACOM INC NEW
1067983,2013-06-30,VIAB,3653200,248527000,VIACOM INC NEW
1067983,2013-06-30,V,1555459,284260000,VISA INC
1067983,2013-06-30,WBC,2433632,181768000,WABCO HLDGS INC
1067983,2013-06-30,WBC,1642693,122693000,WABCO HLDGS INC
1067983,2013-06-30,WMT,290000,21602000,WAL MART STORES INC
1067983,2013-06-30,WMT,170000,12663000,WAL MART STORES INC
1067983,2013-06-30,WMT,29500,2197000,WAL MART STORES INC
1067983,2013-06-30,WMT,4200000,312858000,WAL MART STORES INC
1067983,2013-06-30,WMT,1533840,114256000,WAL MART STORES INC
1067983,2013-06-30,WMT,256000,19069000,WAL MART STORES INC
1067983,2013-06-30,WMT,946000,70468000,WAL MART STORES INC
1067983,2013-06-30,WMT,1789000,133263000,WAL MART STORES INC
1067983,2013-06-30,WMT,849000,63242000,WAL MART STORES INC
1067983,2013-06-30,WMT,38672895,2880744000,WAL MART STORES INC
1067983,2013-06-30,WMT,511000,38064000,WAL MART STORES INC
1067983,2013-06-30,GHC,148311,71748000,WASHINGTON POST CO
1067983,2013-06-30,GHC,648165,313563000,WASHINGTON POST CO
1067983,2013-06-30,GHC,894304,432637000,WASHINGTON POST CO
1067983,2013-06-30,GHC,36985,17892000,WASHINGTON POST CO
1067983,2013-06-30,WFC,6699470,276487000,WELLS FARGO & CO NEW
1067983,2013-06-30,WFC,16000000,660320000,WELLS FARGO & CO NEW
1067983,2013-06-30,WFC,5303500,218875000,WELLS FARGO & CO NEW
1067983,2013-06-30,WFC,6812857,281167000,WELLS FARGO & CO NEW
1067983,2013-06-30,WFC,74853819,3089217000,WELLS FARGO & CO NEW
1067983,2013-06-30,WFC,820000,33841000,WELLS FARGO & CO NEW
1067983,2013-06-30,WFC,1700000,70159000,WELLS FARGO & CO NEW
1067983,2013-06-30,WFC,36069200,1488576000,WELLS FARGO & CO NEW
1067983,2013-06-30,WFC,10267000,423719000,WELLS FARGO & CO NEW
1067983,2013-06-30,WFC,56018270,2311874000,WELLS FARGO & CO NEW
1067983,2013-06-30,WFC,242189787,9995173000,WELLS FARGO & CO NEW
1067983,2013-06-30,WFC,2788000,115061000,WELLS FARGO & CO NEW
1067983,2013-06-30,WFC,1609720,66433000,WELLS FARGO & CO NEW
1067983,2013-06-30,WFC,2000000,82540000,WELLS FARGO & CO NEW
